Target City,Total Weight (Tons)
ST PIERRE DE LA FAG,804.0
ST PIERRE DE LA FAGE,1.0
ST PIERRE DES JONOUI,42.0
ST PIERRE DU FRESNE,158.0
ST PIERRE DU MONT,1407.0
ST PIERRE SUR DIVES,116.0
ST POL,10842.0
ST QUEN,176.0
ST QUENTIN,650.0
ST RAMBERT,170.0
ST REMI SUR AVRE,164.0
ST REMY AUX BOIS,37.0
ST RIGUER,241.0
ST SAENS,90.0
ST SAUVEUR LE VICOM,26.0
ST SENOUX,124.0
ST SEROTIN,147.0
ST SYLVAIN,867.0
ST SYLVESTRE,237.0
ST TROPEZ,2100.0
ST VALERY EN CAUX,1169.0
ST VALLIER,55.0
ST VINCENT,29.0
STE JAMME SUR SARTH,24.0
STELLA PLAGE,1194.0
STEYR,94.0
STRASSBURG,2456.0
SULLY SUR LOIRE,242.0
SUSA,68.0
TAILLEVILLE,423.0
TARARE,24.0
TARASCON,985.0
TERGNIER,2342.0
TESSEL BRETTEVILLE,18.0
THENNES,88.0
THEOULE,131.0
THIBOUVILLE,54.0
THIONVILLE,943.0
THIVERNY,1279.0
THURY HARCOURT,582.0
TICHEVILLE,36.0
TILLE,144.0
TILLY SUR SEULLES,88.0
TINGRY,172.0
TONNERRE,30.0
TORIGNY SUR VIRE,144.0
TORQUEVILLE,18.0
TOUL,675.0
TOULENNE,134.0
TOULON,10888.0
TOULOUSE,2798.0
TOUQUES,324.0
TOUR LAIVILLE,216.0
TOURCOING,24.0
TOURNAN EN BRIE,116.0
TOURNEHEM,387.0
TOURS,7386.0
TOUSSUS,954.0
TRAPPES,2848.0
TRIQUERVILLE,817.0
TROARN,963.0
TROISSY,3388.0
TROUVILLE,952.0
TROYES,433.0
TUSSELAGE,66.0
UNIDENTIFIED,711.0
UNKNOWN,11738.0
UREPEL,24.0
VACQUERIETTE,297.0
VAILLY SUR AISNE,16.0
VAIRES,1708.0
VALENCE,845.0
VALENCIENNES,1021.0
VALENTON,147.0
VALOGNES,350.0
VANNES,911.0
VAR RIVER,399.0
VARENGEVILLE SUR ME,249.0
VENABLES,23.0
VER SUR MER,513.0
VERBERIE,186.0
VERNEVILLE,9.0
VERNON,248.0
VERSAILLES,873.0
VIERVILLE,306.0
VIERZON,605.0
VIGNACOURT,429.0
VILLA COUBLAY,4074.0
VILLADIEU,166.0
VILLAROCHE,108.0
VILLE ES NONAIS,132.0
VILLENEUVE,2263.0
VILLENEUVE LE ROI,1104.0
VILLERS BOCAGE,1312.0
VILLERS LA HOSPITAL,738.0
VILLERS LA MONTAGNE,18.0
VILLERVILLE,210.0
VIMCLY,155.0
VIRE,1572.0
VITRE,212.0
VITRY,377.0
VITRY EN ARTOIS,1010.0
VOSGES HOUSSIERE LA,33.0
VOUEL,36.0
WADICOURT,267.0
WATTEN,8136.0
WEMAERS CAPPEL,292.0
WIMEREUX,2761.0
WISQUES,591.0
WISSANT,838.0
WISSEMBOURG,318.0
WIZERNES,5375.0
WOIPPY,909.0
YAINVILLE,6.0
YVETOT,24.0
YVOIRE,105.0
YVRENCH,628.0
YVRENCH BOIS CARRE,248.0
